,address,sale_price,property_tax_2016,lot_size,square_feet,main_sqft,zillow_bedrooms,plumbing,year_built,type,neighborhood,zillow_finished_sqft,elementaryschool,segments,is_condo,roof,exteriormaterial,parkingtype,heatingsystem,coolingsystem,architecture,homedescription,on_zillow,sale_month_key
3503,14504 NE FREMONT CT,400000,4839.86,7600,2576,1652,4,3.0,1968,1 STY W/BSMT,ARGAY TERRACE,2576,margaret scott,5,0,Composition,Brick,Garage - Attached,Forced air,Central,,"Wonderful one owner home with beautiful view of Mt. St. Helens. Featuring 4 bedrooms, 3 baths, Mother-in-law apt downstairs, large kitchen with eating area plus formal dining room, hardwoods, central air, oversized double garage, very well maintained home in upscale neighborhood.",1,29
3505,14545 NE KNOTT CT,246500,3299.16,11112,1096,1096,3,1.0,1961,1 STY,WILKES COMMUNITY GROUP,1096,margaret scott,3,0,Composition,Wood,Garage - Attached,Forced air,Central,Ranch / Rambler,"Perfect mid century has beautiful hardwood floors, lots of big windows, and huge private yard! Living room has fireplace and slider to yard and patio. Huge kitchen/family/dining area. Large remodeled bathroom. House is really cute & in really good condition. Gas furnace, air condition, RV parking, over 11,000 SF lot with raised bed garden area, all fenced. Walk to transit & schools!
-----------------------------------------------------------------------------------------------------------------
 This neighborhood is awesome!  To learn more about this neighborhood and all the neighborhoods in Portland, see my huge, all inclusive Portland Neighborhood Guide on my website! We have detailed descriptions, photos, hand made collages, links, maps, schools and more, so that you can see exactly where this is and what it has to offer! We also give free Portland Neighborhood Tours to people who want to move to Portland, but aren't quite sure where they want to live. Just email, text or call us and we can help you!. .......................................................................... If you have questions about this house or would like to schedule a showing, call Helen Hoyt 503-998-4429 or Lyle Peterson 503-737-4732  - Mother - Son Team with Portland Creative Realtors . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . We are a family company, myself, my 3 daughters, and my son in law! Dad is our webguy! We do Full Service 1.5% Listings and Flat Fee Listings since 2005, and have a feature on our website that lets you get listings by neighborhood and price as soon as they are listed.. See our website to access our Portland Neighborhood Guide and learn more about us............................................................ www.PortlandCreativeRealtors.com",1,21
3506,14605 NE BROADWAY,412125,4519.44,8255,2426,1426,5,2.5,1961,1 STY W/BSMT,WILKES COMMUNITY GROUP,2714,margaret scott,6,0,Composition,Brick,Garage - Attached,Heat Pump,,,"Spacious ranch with open kitchen just waiting for your personal touches. Breakfast bar in kitchen seats 4 stools. New carpet in living & family room. Fireplace in upstairs living room & downstairs basement. New interior paint. High ceilings in basement with LOTS of space. Built-ins throughout home, lots of storage, over sized garage & a covered patio in backyard. HVAC serviced and chimney swept too!  Lower bedrooms non conforming.",1,31
3507,14635 NE BROADWAY,329500,4004.88,7970,1926,1126,3,2.0,1962,1 STY W/BSMT,WILKES COMMUNITY GROUP,2126,,6,0,Composition,Brick,,Forced air,Central,,"Exceptional condition 1962 ranch with eat-in kitchen, beautiful cabinets and interior woodwork, gas heat, AC, toolshed in fenced backyard. Fireplace on each level. Patio doors lead to covered patio out back. 3 bedrooms on main, one bath on each level. Beautiful hardwoods on main. Basement has large family room, some unfinished space with shelves, laundry room and a second bath. This has been a meticulously cared-for and loved home!",1,27
3508,14635 NE HALSEY ST,362132,4350.56,10194,1943,1071,3,2.5,2006,2 OR MORE STY,WILKES COMMUNITY GROUP,1943,,5,0,Composition,Composition,Garage - Attached,Forced air,Central,Contemporary,"You only live once and this home makes life worth living. Attention to detail was a standard when the owner built his masterpiece. Nestled in the heart of Portland this home is only minutes from the city conveniences. The open concept and vaulted ceilings make a comfortable environment for family living and entertaining. Appliances are included with the large custom kitchen. An efficient gas burning fireplace brings a warm and cozy feeling to the bright living room. The master suite has a large walk-in closet and the master bath makes your mornings a breeze. Back yard features a fenced yard ensuring privacy during your summer time bbqs. 3 decks for all your entertaining needs. This unique property will not last long and will be greatly appreciated as you take a tour.Single Family HomeBuilt in 20061943 Square Feet Living Area.23 Acres 3 Bedrooms3 Baths2 Car Attached GarageVaulted Ceilings and SkylightsSpacious Kitchen Hickory CabinetsMarble and Granite EntryLarge Master Suite with BathAir Conditioning2 Gas Fireplace sManicured Landscaping3 Large Decks Fenced YardFor more information please contact:Jeff Hess503-396-0335*************************************Options Inc. is the only TRUE For Sale By Owner Company. We give you Maximum Online Exposure and all the tools you need to successfully sell your property on your own with NO Realtor Commissions.The Options program walks you through the whole process of selling your home from start to finish.WHY USE OPTIONS? Round Yard Signs We attract buyers and we get noticed. We dont use boring square signs. Seller and Buyer Guides - Prevents your buyer from using a realtor, this will save you thousands.Graphical Craigslist Template Dont blend in with thousands of listings. Stand out! Get noticed!Websites - We post your property on the major websites and we also blast your property on apx. 100 other websites. If a buyer is looking for a property in your area, Options makes sure they find you.And MoreCall today to book your no pressure appointment. An Options Representative will meet your at your home or a local coffee shop to explain our program in detail. If you want to think about using our services that is not a problem. We are a pressure Free Company.Call 360.597.4581 SALES@OPTIONS-NW.COMwww.options-nw.com www.facebook.com/optionsnw

Neighborhood Description

Very peaceful and quiet neighborhood.  I am on a flag lot off Halsey with a buffer of the trees.  Very quiet and peaceful setting off a main road less than 10 minutes from downtown Portland.  Walk across the street for 36 holes at Glendoveer golf course, driving range, tennis courts, walking path, Ringside restaurant, busline outfront, max 2 blocks away, services from gas, conveinent stores, nightclubs only blocks away.  Ideal location for autos or walking.",1,30
3510,14665 NE RUSSELL CT,342500,4113.43,7750,1948,974,4,2.0,1961,1 STY W/BSMT,WILKES COMMUNITY GROUP,2182,margaret scott,5,0,Composition,Wood,Garage - Attached,Forced air,Central,Split-level,"Check out This 4 Bedroom / 2 bath. 
Split Level with tons of light, great yard space with mature plants. Attached sun porch located off of kitchen, great for entertaining or as extra living space. Living room with fireplace, Tons of storage throughout, 2 bedrooms & 1 full bath on the main, lower level has 2 bedrooms and 1 full bath, family room with fireplace & nook, Large laundry / utility room with outdoor access and more storage space. Attached 2 car garage with interior / exterior access. Home has Central air and Hardwoods under carpet per previous owners. Fully fenced yard and side yard with mature landscaping throughout.  ML# 1729095 -  4 bed / 2 bath - Built 1961 - Lot 0.18ac - 2182 Sq Ft",1,29
3513,14717 NE WEIDLER ST,475000,7020.37,13860,3331,2226,3,3.0,1958,1 STY W/BSMT,WILKES COMMUNITY GROUP,2226,,5,0,Shake / Shingle,Brick,Garage - Attached,Radiant,Central,Ranch / Rambler,,1,21
3518,148 NE 148TH AVE,315000,3707.46,11550,1600,1600,3,3.0,1945,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,3,,6,0,,,,,,,,0,23
3519,14801 NE NEWPORT ST,305000,4417.99,6768,1469,1469,2,2.0,1992,1 STY,WILKES COMMUNITY GROUP,1469,,4,0,Composition,Vinyl,Garage - Attached,Forced air,Central,,"Great one-level home in Summerplace! Popular Summerplace floor plan: spacious with vaulted ceilings, walk-in closet in master suite, open kitchen, covered patio. All appliances including washer and dryer. Amenities include recreation center, tennis, pool, walking paths, library. Close to Glendoveer Golf Course. Cul-de-sac location. A great place to live!",1,22
3520,14802 NE JEWELL ST,343000,4563.49,6621,1484,1484,3,2.0,1993,1 STY,WILKES COMMUNITY GROUP,1484,,4,0,Composition,Other,,Forced air,Central,,"Bring your list of wants&needs!This could be the home you are looking for! 3 B/R,spacious & well maintained.Move-in ready!Could be for you!""Feels"" like home when you enter,so nice!Vaulted ceiling,Custom wall bed,great feature!Front B/R,lg window/vaulted,Ideal for an office/space to work from home!This home can be formal or casual;you choose!Enjoy Summerplace,55+ life-style!Tennis,pool,Rec cntrwalkng paths,etc.$1500 trans fee.",1,25
3522,14804 NE NEWPORT ST,395000,5157.15,8107,2109,2109,2,2.0,1992,1 STY,WILKES COMMUNITY GROUP,2109,,4,0,,,,,,,,1,26
3524,14812 NE NEWPORT ST,360000,4509.21,7306,1561,1561,3,2.0,1992,1 STY,WILKES COMMUNITY GROUP,1561,margaret scott,3,0,Composition,Vinyl,,Forced air,Central,,"Gorgeous 3 bdrm/2 ba Bayview floor plan. Open living/dining area with bank of windows looking into private, lovely landscaped backyard. Large covered patio for entertaining.",1,29
3526,14831 NE DAVIS CT,373350,4969.78,7150,2194,2194,3,2.0,1998,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,2194,glenfair,3,0,Composition,Cement / Concrete,Garage - Attached,Forced air,Central,Contemporary,"This property is one not to miss.  One level home with updated kitchen all new SS appliances, breakfast nook and walk in pantry.  Flooded with natural light, private setting,  Master suite has fireplace. Washer/dryer stays.  Vaulted ceilings open floor-plan. Wonderful rear patio with easy care garden beds. Attached two car garage plus parking for your boat, trailer or RV. Completely fenced and gated",1,30
3527,14833 NE THOMPSON CT,307000,3840.44,4728,1122,1122,2,2.0,1987,1 STY,WILKES COMMUNITY GROUP,1122,margaret scott,5,0,Composition,,Garage - Attached,Forced air,Central,,"Beautifully remodeled! Brand new 2016 complete kitchen remodel including new appliances, and view into living area. Brand new 2016 Bathroom remodels, in both bathrooms. New 2016 laminate flooring.  Newer roof, furnace, and water heater. Over sized two car garage with storage.  Large master suite w/ walk in closet, vaulted ceiling in LR. Nicely landscaped yard with storage shed. Summer place 55+ community & pool. Open Sat 11-1 Sun 12-2",1,31
3529,14857 NE THOMPSON CT,273000,3854.16,4316,1085,1085,2,2.0,1986,1 STY,WILKES COMMUNITY GROUP,1085,margaret scott,4,0,Composition,Wood,Garage - Attached,Forced air,Central,Ranch / Rambler,"Immaculately maintained residence in 55+ Summerplace. Situated in the interior of the development away from traffic noise. Heat pump replaced within the last 5 years. Recently installed brick patio and professional landscaping. Amenities: clubhouse, library, pool, tennis, walking paths, recreational activities. One time transfer fee $1,500. HOA $265/PP/Year",1,20
3530,14865 NE EUGENE ST,275000,4039.59,4420,1300,1300,2,2.0,1982,1 STY,WILKES COMMUNITY GROUP,1300,margaret scott,4,0,Composition,Wood,,Forced air,None,,"New listing in wonderful Summerplace 55+ Community. So much to do- 33,000 sq ft clubhouse with library, ballroom, pool table rm, 2 gyms, saunas, whirlpools, swimming pool, tennis courts, mtg rms. One time move in fee $1500, annual HOA fees $275 per person.Light and bright! Fmly room opens to patio and fenced backyard. Newer roof and windows. Great value!",1,28
3534,14914 NE THOMPSON ST,359000,4286.88,5621,1492,1492,2,2.0,1981,1 STY,WILKES COMMUNITY GROUP,1527,,4,0,Composition,Vinyl,Garage - Attached,Forced air,Central,Ranch / Rambler,"Come and see this great Laurelhurst flr plan..Lovely home,many updates,Newer kitchen Granite,stainless appl,bamboo lam floors,Vaulted ceiling,three bay windows,newer vinyl windows.Lots of storage,lg master suite,Amazing back yd,landscaped,wtr feature,cov patio.Room to enjoy & entertain! This ""feels like home""!Lovely Summerplace ""55+""Community.Lots to do if you choose.Meet new friends,enjoy activities.EZ access to shpng.$1500 trans fee",1,24
3536,14925 NE FREMONT CT,365000,4310.47,5000,2155,951,4,2.5,1995,2 OR MORE STY,WILKES COMMUNITY GROUP,2155,,4,0,Shake / Shingle,Other,Garage - Attached,Forced air,Central,Other,"Impeccably maintained NE home on a quiet street. Near River walks, local beach, public transpo and 20 min to downtown. Spacious layout w/open dining/kitchen/living room layout &gas fireplace. 2,155 sqft on 2 levels offers 4 beds, 2.5 baths & master suite w/soaking tub/walk-in closet. Easy living w/all beds on 2nd floor and laundry room. Fenced in backyard w/plenty of room. Brand new Pacific range hood, dishwasher & new hot water heater.",1,31
3537,14935 NE NEWPORT ST,330000,4374.73,5634,1469,1469,2,2.0,1992,1 STY,WILKES COMMUNITY GROUP,1469,margaret scott,3,0,Composition,Vinyl,,Forced air,Central,,"This could be your dream home!Nestled in beautiful Summerplace,55+ Community.One owner custom built Salishan Floor Plan.Lovely kit with granite counters,etc.adjoining fam rm.Room to be together with friends and family,visit,enjoy preparing  Holiday Meals. Open,Spacious.Guest room with custom wall bed,Lg Master,Jacuzzi tub,huge W/I Closet.Over-size DBL garage,lovely yard, cov patio.So much to enjoy!EZ access to shopping.$1500 trans fee.",1,27
3539,14937 NE FREMONT ST,310000,4353.52,6436,1714,1714,2,2.0,1995,1 STY,WILKES COMMUNITY GROUP,1714,,3,0,,,,,,,"Light and Bright Single Level Living. 2 Extra Large Bedrooms, One with Private Bathroom. All the Rooms are Large and Open with Tons of Storage Throughout Home. Utility Room and Oversized Garage Add Extra Storage Not Found in Other Homes. 8X6 Room in Garage and a Pull Down Ladder to Attic for Added Storage. Rear Entry Garage with RV Parking. New Roof 2016, Gas Furnace 2012. Layered Bulb Garden in Front Blooms All Spring and Summer.",1,25
3546,15015 NE MULTNOMAH ST,406700,5718.27,17900,3176,1976,4,2.0,1954,1 STY W/BSMT,WILKES COMMUNITY GROUP,3176,glenfair,6,0,Other,Brick,,Forced air,None,Other,"Wonderful large Mid-Century Daylight Ranch next to Glendoveer Golf Course with a view of St Helens too! Two family rooms, 3 fireplaces, hardwoods, walk-in pantry, 4th bedroom is being used as bonus room. Deck access from family room and Master bedroom. Shop off garage. Lots of storage. Many windows to enjoy the views. Parklike yard with RV Parking. Magnificent home with room to roam. See virtual tour to see it all!",1,20
3550,15020 NE SUMMERPLACE DR,365000,4442.02,5329,1702,1702,3,2.0,1991,1 STY,WILKES COMMUNITY GROUP,1720,,4,0,,,,,,,,1,22
3552,15030 NE OREGON ST,330000,4819.35,13300,1799,1799,3,2.0,1955,1 STY,WILKES COMMUNITY GROUP,1799,,6,0,Composition,Brick,Garage - Attached,Forced air,Central,Ranch / Rambler,"Newly updated with new kitchen cabinets, quartz counter tops, new energy star appliances, floor coverings, drive through 2-car garage, central forced air gas heating, A/C heat pump, newer roof, gas fireplace.  Master bedroom with full bath and sauna.  Courtesy to Flexible Brokers",1,29
3553,15032 NE PACIFIC ST,268000,3780.37,13300,1328,1328,3,2.0,1954,1 STY,WILKES COMMUNITY GROUP,1328,,6,0,Built-up,Wood,Garage - Detached,Forced air,,Other,"Very cool mid-century ""California ranch"" With some TLC, roof and carpets replacement, this home will be restored to its former amazing glory. Priced to sell! HUGE treed lot in park-like setting. Skylights and floor to ceiling windows galore, tons of natural light bring the outdoors inside. Garage+Carport, Vaulted, beams, tile floors, continental bathroom, updated kitchen and master bath. Appliances included!",1,20
3559,1512 NE 148TH PL,403250,5073.7,6038,2017,2017,2,2.0,1993,1 STY,WILKES COMMUNITY GROUP,2017,margaret scott,5,0,Composition,Vinyl,Garage - Attached,Forced air,Central,,"Must See! Rare Gem in Summerplace 55+ neighborhood.  Low maintenance yards, with private fence side yard. Meticulous Garage with Epoxy floors and freestanding cabinets.  2017 square feet of living space.  Lots of room for entertaining. 2 Bedrooms, 2 Bathrooms, and an office/den.  Large master bath with jetted tub. New appliances in kitchen.  All floors less than 2 years old.  Furnace replaced in 2015. Agent is Related to sellers.",1,30
3560,1512 NE 153RD PL,277500,4346.78,9300,2467,983,4,2.0,1923,1 STY W/ATTIC & BSMT,WILKES COMMUNITY GROUP,2467,margaret scott,7,0,Other,Brick,,Forced air,,Other,"Charming, well kept bungalow in prime NE location. Lovely, remodeled kitchen w/granite. Remodeled baths. Cozy living room w/bay window & vaulted ceilings. 2 bdrms on main. Bonus bdrm up. Downstairs 1 bdrm/office, laundry room & family room w/NEW wood FP insert. Updated electric, panel & plumbing. Newer water heater & furnace. Large yard w/deck & covered patio. Near golf, parks, walking trail, tri-met, fwy, shopping & more! Welcome Home!",1,24
3561,15122 NE BRAZEE ST,365000,5003.03,4834,1832,1832,2,2.0,1981,1 STY,WILKES COMMUNITY GROUP,1832,,3,0,,,,Forced air,,,"One-level living at its best! 55+ Summerplace Community offers this highly desirable The Biltmore with both living and family rooms, 2 gas fireplaces; over 1800 sq.ft., 3 car garage, open spaces and tons of storage. Park-like setting/beautifully landscaped. Owners have meticulously maintained this home and it shows! $1500 one-time fee + $265 per person/year HOA fee.",1,20
3563,15141 NE MULTNOMAH ST,350000,4267.57,10000,1445,1445,3,2.0,1958,1 STY W/BSMT,WILKES COMMUNITY GROUP,2890,glenfair,6,0,,Brick,,Forced air,,,"Quality custom, original owner day-ranch home.Mid-Century design & features,open floor plan makes sq footage useful/great for family and entertaining.Enjoy Vancouver views inside or from the covered deck.One level living with separate/downstairs access.Good access to transit/MAX,shopping,PDX and yards to Glendoveer nature/exercize trail/golf course.Home has a new main water line,",1,26
3566,1516 NE 129TH PL,302000,2423.02,7500,1013,1013,3,1.0,1956,1 STY,PARKROSE,1013,russell,5,0,Composition,Wood,Carport,Forced air,Central,Modern,"Mid-Century Modern designed by architect John Storrs, with great flow and modern details. The sunny front room features exposed beam construction and vaulted ceilings, with a fir paneled fireplace and floor to ceiling windows. Hardwood floors throughout. Beautiful landscaping and large pines create privacy in this mid-dentury oasis. This house is a rare gem. Blocks form vegan grocery store Food Fight! and Jet Black Coffee.",1,29
3567,1518 NE 150TH AVE,350000,4953.34,5869,1700,1700,3,2.0,1993,1 STY,WILKES COMMUNITY GROUP,1700,,5,0,,,,,,,,1,30
3568,15201 NE SUMMERPLACE DR,334900,4083.67,4925,1540,1540,2,2.0,1991,1 STY,WILKES COMMUNITY GROUP,1540,,5,0,,,,,,,,1,28
3569,1521 NE 148TH PL,395000,5095.26,7877,2127,2127,3,2.0,1992,1 STY,WILKES COMMUNITY GROUP,2150,,3,0,Composition,Vinyl,,Forced air,Central,,"**Open Sun 10/30 from 3:00-5:00** Perfect Summerplace single-level Englewood model w/formal living and dining, 2 fireplaces, covered patio overlooking a landscaper's dream garden. New GAF lifetime roof, newer high-efficiency gas furnace and energy shield ceiling insulation, plantation shutters, remodeled kitchen with new cabinets, quartz countertops, all appliances included. Absolutely turn-key awaiting the perfect buyer. Welcome home!",1,24
3570,15221 NE SCHUYLER CT,325200,3726.26,10800,1443,1443,3,2.0,1964,1 STY,WILKES COMMUNITY GROUP,1443,scott,4,0,Metal,Wood,Garage - Attached,Forced air,Central,Ranch / Rambler,"Ranch style home that has been loved it''s whole life! On quiet Cul-De-Sac near Glendoveer Golf Course. Newer furnace, a/c and windows. The wood floors/window frames are pristine. All the big things are done! It''s ready for your cosmetic updates. This home also features a steel roof,large closets with cedar floors, nice size bedrooms, 2 car garage, great backyard and a terrific floorplan.  Come see your new home today!",1,27
3571,15235 NE BEECH CT,305000,4252.51,7192,1505,1505,3,2.0,1981,1 STY,WILKES COMMUNITY GROUP,1505,margaret scott,7,0,Composition,Wood,,Forced air,Central,,"Ideal one-story, 3 bed, 2 full bath ranch. Open formal living/dining room area has large windows & cozy wood fireplace. Kitchen smartly updated with ss appliances and a flow-through island/eating bar. Family room is light and bright w statement wall of floor-to-ceiling windows and decorative stone. Slider to backyard with covered patio and tool shed. Great location, neighbors Wilkes Park, centrally located minutes to I84 and I205.",1,29
3572,1524 NE 129TH PL,330000,3589.61,7500,1110,1110,3,2.0,1955,1 STY,PARKROSE,1110,russell,3,0,Built-up,Wood,Garage - Attached,Heat Pump,Geothermal,Modern,"Mid-century gem in a quiet neighborhood. Immaculately clean & well maintained. Hardwood floors underneath all carpet. Plenty of storage- big closets, extra deep garage w/ cabinets, plus adjacent storage shed. Skylights let in tons of natural light. Over 750 sq ft of deck space in front, side, & rear yards. Beautiful mature landscaping. Excellent location- public trans (MAX, 77 bus to NW), Glendoveer Golf. 2016 roof. Appliances included.",1,31
3573,15240 NE COUCH CT,263000,3038.57,9600,1092,1092,3,2.0,1963,1 STY,CENTENNIAL COMMUNITY ASSOCIATION,1096,glenfair,4,0,Composition,Wood,Garage - Attached,Baseboard,None,,"Fenced yard,3 bedrooms,2 baths. Large covered private patio! As of 3/2016-$40K of upgrades= brand new roof,new interior & exterior doors,ALLnew double pane vinyl windows, new double car cement driveway,smaller bath remolded tile walk in shower/matching floor,new paint inside and out.ALL NEW FLOORING PAID FOR AND TO BE INSTALLED in 2 weeks! By Max, park and school.QUIET no traffic cul de sac! PRICED to SELL!!!",1,25
3575,15406 NE SUMMERPLACE DR,372400,4272.84,5013,1366,1366,2,2.0,1991,1 STY,WILKES COMMUNITY GROUP,1457,,5,0,,,,,Central,,"Easy one-level living in this completely remodeled light-filled Summerplace Ranch. Thoughtful design & use of materials for move-in ready condition. No surfaces left untouched. New hardwoods, interior paint, carpets, countertops, plumbing, light fixtures, all new appliances. Enjoy the seasons on your back patio w/power awning. Tons of storage in garage w/built-in cabinets & pull down attic stairs. This home is impeccable!",1,30
3576,15411 NE SPRINGBROOK ST,395000,6142.37,7032,2768,1611,4,2.5,1994,2 OR MORE STY,WILKES COMMUNITY GROUP,2991,,5,0,,Brick,,Forced air,Central,,"This home features 2991 square feet, 4 bedrooms, 2.1 baths, dramatic 2 story entrance, open kitchen with gas stove, nook and eating bar that looks over great room, master suite with walk in closet, double sinks, shower and jacuzzi tub, massive upstairs bonus room, air conditioning, built in vacuum system, sprinkler system, landscaped yard, and a 4 car garage! Close to parks, schools and shopping. Short drive to airport and downtown.",1,24
3578,1542 NE 136TH AVE,310000,4008.06,8444,1675,913,3,2.5,1993,2 OR MORE STY,PARKROSE,1675,,4,0,Composition,Wood,,Forced air,Central,,"Open Tues 11-2 Immaculate Interior w/Fun Architectural Flair! Dramatic Vaulted Ceilings + Large Master BR With W-IN Cedar Lined Closet & View of Tree Tops & Pristine Street. Wonderfully Large Secret Back Yard Retreat W/Patio, Landscaping & Refreshing Shade Trees!  Many Upgrades Include Newer Roof, Furnace & AC, HW Heater, Garage Door + Double Paned Windows With Privacy Shades! Near Glendoveer Nature Trails & Golf, Transit, & Shopping",1,24
3583,15430 NE SUMMERPLACE DR,322400,4373.3,5314,1475,1475,2,2.0,1990,1 STY,WILKES COMMUNITY GROUP,1475,margaret scott,4,0,Composition,,Garage - Attached,Forced air,Central,,,1,31
3585,15503 NE SUMMERPLACE DR,290000,4118.2,4925,1366,1366,2,2.0,1991,1 STY,WILKES COMMUNITY GROUP,1366,,4,0,Shake / Shingle,Vinyl,Garage - Attached,Forced air,Central,Ranch / Rambler,"Desireable Salishan model~!  Tons of natural light.  Great for entertaining, lots of living space for square footage.  ",1,21
3586,15510 NE COUCH ST,299900,192.32,3408,1680,690,4,2.5,2017,2 OR MORE STY,,1685,,5,0,Composition,,,Heat Pump,,,"TEN LONG YEARS OF PROPERTY TAX ABATEMENT AVAILABLE!! Why pay high property taxes when you can have low, very low, insanely low property taxes and a brand new home? Up to $4,500 in Purchaser''s closing costs! New street, new home, 4 bdrms, 2 1/2 bath, stainless steel appl., slab granite counter tops, 9'' ceilings on main. Located near Glendoveer Golf Course & trails, max line & Glenfair Park!",1,23
3589,15511 NE SUMMERPLACE DR,315000,4772.01,5049,1694,1694,2,2.0,1991,1 STY,WILKES COMMUNITY GROUP,1694,,3,0,,,,,,,"Courtyard entry in this one level home with 2 skylites in kitchen and 2 skylites in the vaulted living room.  Large master suite has 2 sinks, jetted tub, separate shower and large WI closet with organizers. Open kitchen includes tile counters and new oven and microwave. All appliances stay.  Storage galore in garage with cabinets and pull down ladder.  Low maintenance backyard with deck and covered patio off living room slider.",1,20
3590,15514 NE COUCH ST,299900,192.32,3408,1680,690,4,2.5,2017,2 OR MORE STY,,1685,,5,0,Composition,Cement / Concrete,,Heat Pump,,,"TEN LONG YEARS OF PROPERTY TAX ABATEMENT AVAILABLE!! Why pay high property taxes when you can have low, very low, insanely low property taxes and a brand new home? Up to $4,500 in Purchaser''s closing costs! new street, new home, 4 bdrms, 2 1/2 bath, stainless steel appl., slab granite counter tops, 9'' ceilings on main. Located near Glendoveer Golf Course & trails, MAX line& Glenfair Park.",1,25
3591,15522 NE COUCH ST,299900,192.51,3408,1680,690,4,2.5,2017,2 OR MORE STY,,1685,,5,0,Composition,,,Heat Pump,,,"TEN LONG YEARS OF PROPERTY TAX ABATEMENT!! Why would you buy a used home and pay high property taxes when you can live in a brand new home with extremely low taxes? Up to $4,500 in Purchaser''s closing costs! New street, new home, 4 bdrms, 2 1/2 bath, stainless steel appl., slab granite counter tops, 9'' ceilings on main. Located near Glendoveer Golf Course & trails, Max Line & Glenfair Park!",1,22
3592,15525 NE HALSEY ST,337900,2873.56,9324,1240,1240,3,2.0,1967,1 STY,WILKES COMMUNITY GROUP,1406,margaret scott,4,0,Composition,Cement / Concrete,Garage - Attached,Forced air,,,"Like new. Beautiful house in NE Portland. Just remodeled. New roof,laminate floors,bathrooms, doors. New kitchen cabinets with granite countertops/appliances. New sewer line. Beautiful landscape on front yard. Minutes to Glendoveer park/golf course.",1,29
3593,15528 NE COUCH ST,299900,192.51,3408,1680,690,4,2.5,2017,2 OR MORE STY,,1685,,5,0,Composition,,,Heat Pump,,,"OPEN SATURDAY OCTOBER 15th from 12-3pm. TEN YEAR PROPERTY TAX ABATEMENT! Why pay high property taxes when you can pay low, very low, insanely low property taxes! UP TO $4,500 IN PURCHASER''S CLOSING COSTS! Brand new home located on brand new street! 4 bdrms, 2 1/2 bath, stainless steel appl., slab granite counter tops, 9'' ceiling on main, quality home! Located near Glendoveer Golf Course & trails, Max line and Glenfair Park!",1,25
3595,15534 NE COUCH ST,305000,192.51,3511,1680,690,3,2.5,2017,2 OR MORE STY,,3,,5,0,,,,,,,,0,24
3597,15606 NE TILLAMOOK ST,357500,4779.6,7160,1640,1640,2,2.0,1989,1 STY,WILKES COMMUNITY GROUP,1640,,5,0,Composition,,Garage - Attached,Forced air,Central,,"Summerplace is such a lovely, inviting community. Several custom changes were made to this floor plan: a wall of window in the living room, extended back wall for more kitchen dining & casual living sf, increased closet sizes... just to name a few. Fresh interior & exterior paint; large gorgeous lot perfect for gardening & entertaining; master suite w/covered patio; extra deep 2car garage; kitchen opens to spacious family room & yard.",1,28
3598,15607 NE STANTON ST,312000,4196.63,8489,1580,1280,3,2.0,1976,2 OR MORE STY,WILKES COMMUNITY GROUP,1580,,5,0,Composition,Wood,Garage - Attached,Forced air,Central,Split-level,"OPEN 8/6 & 8/7 FROM 12:00 - 3:00. This home is clean, well-cared-for and move-in ready. Featuring vaulted ceilings, a gas fireplace and a great room floor plan, the main level is wide open and perfect for hosting any event. The large, beautifully manicured backyard offers plenty of space to garden, entertain, or just relax. This is truly a fantastic home in a great neighborhood.",1,23
3599,15614 NE SISKIYOU CT,370000,4927.18,8054,2332,1538,4,3.0,1985,1 STY W/BSMT,WILKES COMMUNITY GROUP,2482,,5,0,Composition,Wood,,Forced air,Central,,"**Open Sunday 12-2** Original owner, first time on the market! Desirable Holcomb Heights neighborhood. This home has been well cared for and has fantastic bones, ready for some updating. Spacious floor plan. Beautiful architectural details in main living and dining areas, large windows bring in lots of natural light. Easy commute to PDX or downtown. Newer roof, all appliances included. Brand new exterior and interior paint throughout.",1,22
3600,15624 NE RIVERVIEW LN,305900,3520.77,5085,1449,1449,3,2.5,2003,1 STY,WILKES COMMUNITY GROUP,1449,,3,0,Composition,Cement / Concrete,Garage - Attached,Heat Pump,,,Incredibly well-maintained & loved home! Traditional single-level. Warm & inviting floor plan with gorgeous bamboo flooring & vaulted ceilings. Includes proper dining & living rooms with kitchen/family great room. Kitchen has cook island & stainless appliances. Slider to fenced yard and covered patio with custom wood features and ceiling fan. Master suite w double sinks. Lots of storage in 2 car garage. OPEN HOUSE 10/16 from 1-3 PM.,1,25
3601,15625 NE FARGO CT,320000,4891.89,7098,1922,1922,2,2.0,1979,1 STY,WILKES COMMUNITY GROUP,1922,margaret scott,4,0,Composition,Wood,,Forced air,Central,,"RARE 2 bedroom, 2 bath with over 1900sf! Gas fireplace in family room, 2 eating areas. Master suite. Glassed Atrium! Oversized 2 car garage with lots of storage. Manmade deck in beautifully landscaped private backyard!! This one won''t last long!! Call your agent to see today!",1,26
